Date : 2019-08-29 15:03:33
Directory : /home/localadmin/Documents/projects/eos-docker
Total : 36 files,  2721 codes, 4 comments, 283 blanks, all 3008 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| YAML     |         34 |      2,714 |          4 |        279 |      2,997 |
| hosts    |          1 |          6 |          0 |          3 |          9 |
| Ignore   |          1 |          1 |          0 |          1 |          2 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                       |         36 |      2,721 |          4 |        283 |      3,008 |
| playbooks                                               |         27 |      1,720 |          1 |        245 |      1,966 |
| playbooks/roles                                         |         13 |      1,241 |          1 |        217 |      1,459 |
| bootstrap-playbooks                                     |          4 |        420 |          1 |         21 |        442 |
| bootstrap-playbooks/roles                               |          3 |        415 |          1 |         19 |        435 |
| bootstrap-playbooks/roles/config-builder                |          3 |        415 |          1 |         19 |        435 |
| bootstrap-playbooks/roles/config-builder/vars           |          2 |        353 |          1 |          7 |        361 |
| playbooks/host_vars                                     |          3 |        198 |          0 |          6 |        204 |
| playbooks/host_vars/eos-kisti-01.sdfarm.kr              |          1 |        154 |          0 |          2 |        156 |
| playbooks/roles/eos-docker-krb/tasks                    |          1 |        148 |          0 |         25 |        173 |
| playbooks/roles/eos-docker-krb                          |          1 |        148 |          0 |         25 |        173 |
| playbooks/roles/eos-docker-mgm                          |          1 |        142 |          0 |         24 |        166 |
| playbooks/roles/eos-docker-mgm/tasks                    |          1 |        142 |          0 |         24 |        166 |
| playbooks/roles/eos-docker-fst                          |          1 |        136 |          0 |         23 |        159 |
| playbooks/roles/eos-docker-fst/tasks                    |          1 |        136 |          0 |         23 |        159 |
| playbooks/roles/eos-docker-proxy/tasks                  |          1 |        134 |          0 |         23 |        157 |
| playbooks/roles/eos-docker-mq                           |          1 |        134 |          0 |         23 |        157 |
| playbooks/roles/eos-docker-proxy                        |          1 |        134 |          0 |         23 |        157 |
| playbooks/roles/eos-docker-mq/tasks                     |          1 |        134 |          0 |         23 |        157 |
| playbooks/roles/eos-docker-qdb                          |          1 |        133 |          0 |         23 |        156 |
| playbooks/roles/eos-docker-qdb/tasks                    |          1 |        133 |          0 |         23 |        156 |
| playbooks/roles/docker/tasks                            |          1 |        126 |          1 |         20 |        147 |
| playbooks/roles/docker                                  |          1 |        126 |          1 |         20 |        147 |
| playbooks/group_vars                                    |          5 |        117 |          0 |          9 |        126 |
| playbooks/group_vars/all                                |          2 |        111 |          0 |          3 |        114 |
| playbooks/roles/network                                 |          1 |         93 |          0 |         15 |        108 |
| playbooks/roles/network/tasks                           |          1 |         93 |          0 |         15 |        108 |
| playbooks/roles/cockpit/tasks                           |          1 |         64 |          0 |         12 |         76 |
| playbooks/roles/cockpit                                 |          1 |         64 |          0 |         12 |         76 |
| bootstrap-playbooks/roles/config-builder/tasks          |          1 |         62 |          0 |         12 |         74 |
| playbooks/roles/chrony/tasks                            |          1 |         54 |          0 |          9 |         63 |
| playbooks/roles/chrony                                  |          1 |         54 |          0 |          9 |         63 |
| playbooks/tasks                                         |          1 |         36 |          0 |          5 |         41 |
| playbooks/roles/firewalld                               |          1 |         28 |          0 |          6 |         34 |
| playbooks/roles/firewalld/tasks                         |          1 |         28 |          0 |          6 |         34 |
| playbooks/roles/eos-docker-builder                      |          1 |         27 |          0 |          5 |         32 |
| playbooks/roles/eos-docker-builder/tasks                |          1 |         27 |          0 |          5 |         32 |
| playbooks/roles/baseshare                               |          1 |         22 |          0 |          9 |         31 |
| playbooks/host_vars/eos-kisti-02.sdfarm.kr              |          1 |         22 |          0 |          2 |         24 |
| playbooks/host_vars/eos-kisti-03.sdfarm.kr              |          1 |         22 |          0 |          2 |         24 |
| playbooks/roles/baseshare/handlers                      |          1 |         22 |          0 |          9 |         31 |
| ref                                                     |          2 |         18 |          0 |          2 |         20 |
| ref/sample-docker                                       |          2 |         18 |          0 |          2 |         20 |
| inventory                                               |          1 |          6 |          0 |          3 |          9 |
| playbooks/group_vars/eos                                |          1 |          2 |          0 |          2 |          4 |
| playbooks/group_vars/eos_infra2                         |          1 |          2 |          0 |          2 |          4 |
| playbooks/group_vars/eos_infra                          |          1 |          2 |          0 |          2 |          4 |
+---------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                | language | code       | comment    | blank      | total      |
+---------------------------------------------------------+----------+------------+------------+------------+------------+
| bootstrap-playbooks/roles/config-builder/tasks/main.yml | YAML     |         62 |          0 |         12 |         74 |
| bootstrap-playbooks/roles/config-builder/vars/main.yml  | YAML     |        343 |          1 |          6 |        350 |
| bootstrap-playbooks/roles/config-builder/vars/vault.yml | YAML     |         10 |          0 |          1 |         11 |
| bootstrap-playbooks/site.yml                            | YAML     |          5 |          0 |          2 |          7 |
| config.sut.yaml                                         | YAML     |        214 |          1 |          6 |        221 |
| config.yaml                                             | YAML     |        343 |          1 |          6 |        350 |
| inventory/hosts                                         | hosts    |          6 |          0 |          3 |          9 |
| playbooks/group_vars/all/vars.yml                       | YAML     |        101 |          0 |          2 |        103 |
| playbooks/group_vars/all/vault.yml                      | YAML     |         10 |          0 |          1 |         11 |
| playbooks/group_vars/eos/vars.yml                       | YAML     |          2 |          0 |          2 |          4 |
| playbooks/group_vars/eos_infra/vars.yml                 | YAML     |          2 |          0 |          2 |          4 |
| playbooks/group_vars/eos_infra2/vars.yml                | YAML     |          2 |          0 |          2 |          4 |
| playbooks/host_vars/eos-kisti-01.sdfarm.kr/vars.yml     | YAML     |        154 |          0 |          2 |        156 |
| playbooks/host_vars/eos-kisti-02.sdfarm.kr/vars.yml     | YAML     |         22 |          0 |          2 |         24 |
| playbooks/host_vars/eos-kisti-03.sdfarm.kr/vars.yml     | YAML     |         22 |          0 |          2 |         24 |
| playbooks/paralleling-upgrade.yml                       | YAML     |          5 |          0 |          1 |          6 |
| playbooks/requirements-check.yml                        | YAML     |         57 |          0 |          2 |         59 |
| playbooks/roles/baseshare/handlers/main.yml             | YAML     |         22 |          0 |          9 |         31 |
| playbooks/roles/chrony/tasks/main.yml                   | YAML     |         54 |          0 |          9 |         63 |
| playbooks/roles/cockpit/tasks/main.yml                  | YAML     |         64 |          0 |         12 |         76 |
| playbooks/roles/docker/tasks/main.yml                   | YAML     |        126 |          1 |         20 |        147 |
| playbooks/roles/eos-docker-builder/tasks/main.yml       | YAML     |         27 |          0 |          5 |         32 |
| playbooks/roles/eos-docker-fst/tasks/main.yml           | YAML     |        136 |          0 |         23 |        159 |
| playbooks/roles/eos-docker-krb/tasks/main.yml           | YAML     |        148 |          0 |         25 |        173 |
| playbooks/roles/eos-docker-mgm/tasks/main.yml           | YAML     |        142 |          0 |         24 |        166 |
| playbooks/roles/eos-docker-mq/tasks/main.yml            | YAML     |        134 |          0 |         23 |        157 |
| playbooks/roles/eos-docker-proxy/tasks/main.yml         | YAML     |        134 |          0 |         23 |        157 |
| playbooks/roles/eos-docker-qdb/tasks/main.yml           | YAML     |        133 |          0 |         23 |        156 |
| playbooks/roles/firewalld/tasks/main.yml                | YAML     |         28 |          0 |          6 |         34 |
| playbooks/roles/network/tasks/main.yml                  | YAML     |         93 |          0 |         15 |        108 |
| playbooks/site.yml                                      | YAML     |         34 |          0 |          3 |         37 |
| playbooks/ssh-copy-id.yml                               | YAML     |          7 |          0 |          1 |          8 |
| playbooks/ssh-key-scan.yml                              | YAML     |         25 |          0 |          1 |         26 |
| playbooks/tasks/upgrade.yml                             | YAML     |         36 |          0 |          5 |         41 |
| ref/sample-docker/.gitignore                            | Ignore   |          1 |          0 |          1 |          2 |
| ref/sample-docker/.gitlab-ci.yml                        | YAML     |         17 |          0 |          1 |         18 |
| Total                                                   |          |      2,721 |          4 |        283 |      3,008 |
+---------------------------------------------------------+----------+------------+------------+------------+------------+
